,gdp,life_expectancy,unemployment,imp,urban_population_growth,exp,infant_mortality,gdp_growth,population_growth,gdp_per_Capita,bi_index
Asia,751973.4524,71.43095238,5.004761905,149767.6429,2.669047619,167457.4286,17.77619048,3.44047619,1.454761905,13186.15,0.523809524
Europe,503432.8049,75.86097561,7.229268293,164680.3171,0.436585366,165153.7317,4.790243902,3.380487805,0.156097561,30179.75854,0.853658537
Africa,43555.2963,61.56666667,8.155555556,10613.85185,3.611111111,8432.203704,44.34814815,4.183333333,2.311111111,2428.055556,0.055555556
Oceania,154053.6364,70.28181818,6.354545455,24696.72727,1.772727273,29055.72727,19.50909091,2.027272727,1.281818182,13313.68182,0.363636364
South America,332881.8182,72.14545455,8.081818182,40034.18182,1.2,45000.36364,15.14545455,0.390909091,0.890909091,8878.445455,0.454545455
North America,1334599.722,72.75555556,7.627777778,200576.3889,1.561111111,145981.4444,15.59444444,1.994444444,0.927777778,13327.35,0.444444444
